split,ablation,day,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
validation,single reference,55,1.9783380391123728,10.95498081956525,1.124547214096366,0.2030797284876465,9.741681525011083,-1.978338039112371,61.95600584915391,14.106747887189695,14.106747887189695,14.106747887189695,4.440892098500626e-16,15.826704312898968,14.106747887189695,29.933452200088666,4.440892098500626e-16,3.148062284811505e-17,15.826704312898968,1.0,0.4712703296931421,0.6406305084551435,1.5600997452589347
validation,single reference,56,5.124532892757797,9.956356114181942,0.7275685823813752,0.3744792863364615,13.684422823198599,-0.07390021320481,39.550710958086654,41.98995616293271,41.98995616293271,41.98995616293271,1.3083060011943433,20.793732423850425,40.68165016173836,61.47538258558879,1.3083060011943433,0.03115759388073072,20.793732423850425,0.9688424061192692,0.6617551359700696,0.7863821962757493,14.712548644727299
validation,single reference,57,5.726812762500522,21.416428639866357,1.3446904525124128,0.3595739782087562,15.926660741772956,-4.050477413144787,113.46483477163966,47.009466629025354,47.009466629025354,47.009466629025354,6.705341397422904,39.10916070258122,40.304125231602455,79.41328593418368,6.705341397422904,0.14263810841203595,39.10916070258122,0.8573618915879642,0.5075237066125913,0.6376087280879467,13.33709116134536
validation,single reference,58,3.349304029545114,9.738701571984679,0.6544701574738268,0.22508334601297317,14.880283632144288,-1.83955544726095,44.67148105132485,56.32582547906671,56.32582547906671,56.32582547906671,6.038994329136632,20.755437907224234,50.28683114993007,71.0422690571543,6.038994329136632,0.10721537195013685,20.755437907224234,0.8927846280498631,0.7078438205496189,0.7896299514103114,22.487707015727686
validation,single reference,59,4.909162105620654,15.079563213962283,0.880056221695333,0.2865029041664936,17.134772577271413,-3.4503550867818538,77.15712129572816,61.47533992391648,61.47533992391648,61.47533992391648,5.835228075355168,33.43806876961001,55.640111848561304,89.07818061817132,5.835228075355168,0.09491981797216578,33.43806876961001,0.9050801820278341,0.6246211076880831,0.739140627840807,23.092688017225235
validation,single reference,60,4.89655904098916,18.832962600903045,1.2700951444866773,0.3302239798614832,14.827993542574003,-4.8965590409891595,97.71837093004694,31.45147601267876,31.45147601267876,31.45147601267876,6.661338147750939e-16,39.172472327913276,31.45147601267876,70.62394834059204,6.661338147750939e-16,2.1179731422034412e-17,39.172472327913276,1.0,0.44533726521491596,0.6162399267394466,19.495207370301575
validation,unconstrained convex ensemble,45,10.051064478705385,24.260421095206286,1.133974637015772,0.4698043842328098,21.39414789650966,-5.046271941652433,98.00142628660436,64.3827790091173,64.3827790091173,64.3827790091173,1.6189415184712477,60.389345681431244,62.763837490646054,123.15318317207729,1.6189415184712477,0.02514556754752677,60.389345681431244,0.9748544324524733,0.5096403996553505,0.6693525525520755,10.915320314668547
validation,unconstrained convex ensemble,46,3.260103687971495,16.353234210412065,1.0767810240042477,0.2146619893243439,15.187149332924681,-3.260103687971492,91.6333404491823,47.416365159625514,47.416365159625514,47.416365159625514,2.6645352591003757e-15,26.08082950377193,47.416365159625514,73.49719466339744,2.6645352591003757e-15,5.619442254019919e-17,26.08082950377193,1.0,0.6451452382200852,0.7843018637285549,21.243161200599395
validation,unconstrained convex ensemble,47,3.2770630711701423,18.537868160003367,1.8703421798369986,0.3306329096254928,9.911484839431335,-3.277063071170142,104.86601827744454,5.075374146089533,5.075374146089533,5.075374146089533,6.661338147750939e-16,26.216504569361135,5.075374146089533,31.291878715450668,6.661338147750939e-16,1.3124821847633354e-16,26.216504569361135,1.0,0.16219461260993315,0.27911781873724867,0.0
validation,unconstrained convex ensemble,48,1.9870568522275447,9.917930606205324,0.9815907537602784,0.19666165360364715,10.103936460497117,-1.7556886390305286,55.85855782099509,18.785982571732703,18.785982571732703,18.785982571732703,0.925472852788058,14.970981965032284,17.86050971894464,32.83149168397693,0.925472852788058,0.04926401103877412,14.970981965032284,0.9507359889612257,0.5440054290211029,0.6920334625621095,0.43236465027318705
validation,unconstrained convex ensemble,49,0.7588026389187171,4.2924359324933725,0.5199667368120003,0.09191800139780167,8.255212552270146,-0.7588026389187162,24.28168444539892,11.97127930681144,11.97127930681144,11.97127930681144,0.0,6.07042111134973,11.97127930681144,18.04170041816117,0.0,0.0,6.07042111134973,1.0,0.6635338703862352,0.797740138867359,0.16466857977176108
validation,unconstrained convex ensemble,50,1.4195589471077055,6.761484858069371,0.6859435289418971,0.14401234257857048,9.85720335972745,-1.4195589471077024,37.86992795620415,19.501155300957976,19.501155300957976,19.501155300957976,4.440892098500626e-16,11.35647157686162,19.501155300957972,30.857626877819595,4.440892098500626e-16,2.2772456451759407e-17,11.35647157686162,0.9999999999999998,0.6319719717323877,0.7744887567664906,-1.4741371786098814
validation,unconstrained convex ensemble,51,1.420035073690217,3.832666639932277,0.324599222717124,0.12026672926582603,11.807380830582893,-0.45634386371306374,14.603003638818052,42.80829573495863,42.80829573495863,42.80829573495863,3.8547648399085994,7.505515749613115,38.95353089505003,46.45904664466315,3.8547648399085994,0.09004714562277412,7.505515749613115,0.909952854377226,0.8384487781891389,0.8727386714257656,10.469941343356737
validation,unconstrained convex ensemble,52,2.8198997893617563,8.774197472685742,0.723744272537132,0.23260091057131518,12.123339424749062,-1.3128722143618694,42.01191085957983,38.48373768309754,38.48373768309754,38.48373768309754,6.028110299999544,16.5310880148945,32.455627383098,48.9867153979925,6.028110299999544,0.15664045809789295,16.5310880148945,0.8433595419021072,0.6625393664264342,0.7420935010593761,5.192643005242333
validation,unconstrained convex ensemble,53,0.8487827125291914,4.801440094266422,0.6529071849646026,0.11541877449347258,7.353939740342621,-0.8487827125291907,27.161046800934102,4.0412562225074495,4.0412562225074495,4.0412562225074495,4.440892098500626e-16,6.7902617002335255,4.0412562225074495,10.831517922740975,4.440892098500626e-16,1.0988890221232291e-16,6.7902617002335255,1.0,0.3731015589258045,0.5434435005924643,0.0
